index,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],ch_name,Condition,Significant,P_fdr,SIG
ch_name[S19_D6 hbo]:Condition[V],1.584368004236232e-08,1.688510466656865e-08,0.9383228801496104,0.3480785049295162,-1.7250516979301438e-08,4.8937877064026084e-08,S19_D6 hbo,V,False,0.5632307179050527,False
ch_name[S19_D8 hbo]:Condition[V],3.4501185490622076e-09,1.688510466656865e-08,0.2043291183082333,0.8380963168228759,-2.9644078472601552e-08,3.6544315570725967e-08,S19_D8 hbo,V,False,0.9044558492399365,False
ch_name[S1_D2 hbo]:Condition[V],-2.747366253312215e-08,1.6885104666568652e-08,-1.6270945946528903,0.1037170088759782,-6.056785955478592e-08,5.620534488541616e-09,S1_D2 hbo,V,False,0.2632266156300688,False
ch_name[S1_D4 hbo]:Condition[V],-3.044603507657748e-08,1.688510466656865e-08,-1.8031297808214681,0.07136783508153272,-6.354023209824123e-08,2.648161945086282e-09,S1_D4 hbo,V,False,0.20359196364344218,False
ch_name[S20_D3 hbo]:Condition[V],4.7887210480800833e-08,1.6885104666568646e-08,2.8360624009405306,0.004567352117909215,1.479301345913708e-08,8.098140750246459e-08,S20_D3 hbo,V,True,0.03001402820340341,True
ch_name[S20_D5 hbo]:Condition[V],2.4738036847191066e-08,1.6885104666568652e-08,1.4650804561591306,0.14289896813849537,-8.3561601744727e-09,5.783223386885483e-08,S20_D5 hbo,V,False,0.32662621288798943,False
ch_name[S20_D6 hbo]:Condition[V],2.9603086285646097e-08,1.6885104666568652e-08,1.7532071532999245,0.07956645560499058,-3.491110736017669e-09,6.269728330730987e-08,S20_D6 hbo,V,False,0.22015380197471077,False
ch_name[S20_D7 hbo]:Condition[V],2.3881440068340476e-08,1.6885104666568652e-08,1.4143495429805708,0.15725929713579517,-9.21275695332329e-09,5.697563709000424e-08,S20_D7 hbo,V,False,0.3397146106220639,False
ch_name[S21_D10 hbo]:Condition[V],-2.40092876838318e-08,1.6885104666568652e-08,-1.4219211641233436,0.15504913844170584,-5.710348470549557e-08,9.084909337831966e-09,S21_D10 hbo,V,False,0.3396314461104033,False
ch_name[S21_D6 hbo]:Condition[V],7.143333901678575e-09,1.6885104666568652e-08,0.42305535220174767,0.6722548764439711,-2.5950863119985193e-08,4.023753092334234e-08,S21_D6 hbo,V,False,0.7980315952625205,False
ch_name[S21_D7 hbo]:Condition[V],-9.339218798005003e-09,1.6885104666568652e-08,-0.5531039920940505,0.5801922032292058,-4.243341581966877e-08,2.375497822365876e-08,S21_D7 hbo,V,False,0.7409190890685479,False
ch_name[S21_D8 hbo]:Condition[V],8.799460514121318e-09,1.6885104666568652e-08,0.5211374574149751,0.602271018892286,-2.429473650754245e-08,4.1893657535785083e-08,S21_D8 hbo,V,False,0.7538630440556504,False
ch_name[S22_D5 hbo]:Condition[V],7.532466853338064e-09,1.6885104666568656e-08,0.44610128288110823,0.6555240861719649,-2.556173016832571e-08,4.0626663875001835e-08,S22_D5 hbo,V,False,0.7949935975322056,False
ch_name[S22_D7 hbo]:Condition[V],1.0741952164836169e-08,1.688510466656865e-08,0.6361791873345327,0.5246596369317321,-2.2352244856827592e-08,4.383614918649993e-08,S22_D7 hbo,V,False,0.7124529387117248,False
ch_name[S22_D9 hbo]:Condition[V],-1.2185042930048355e-09,1.6885104666568652e-08,-0.07216445009176581,0.9424710361004759,-3.43127013146686e-08,3.187569272865893e-08,S22_D9 hbo,V,False,0.9634148369027087,False
ch_name[S23_D10 hbo]:Condition[V],1.0885202151625303e-08,1.6885104666568652e-08,0.6446629953782433,0.5191456017003409,-2.2208994870038463e-08,4.397939917328907e-08,S23_D10 hbo,V,False,0.7114898160137096,False
ch_name[S23_D12 hbo]:Condition[V],5.558816253590223e-08,1.688510466656865e-08,3.2921420170976483,0.0009942738935318403,2.249396551423847e-08,8.868235955756598e-08,S23_D12 hbo,V,True,0.009888994400532897,True
